name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Pearls (with Angelique Kidjo) - Live 2007,Awake (Live),Josh Groban,2008-05-02,354773,11,0.631,0.365,0.49,2.03e-05,0.977,-9.902,0.0692,136.049,3
By the Sea - 2023 Broadway Cast Recording,By the Sea (2023 Broadway Cast Recording),Josh Groban,2023-06-02,216335,52,0.885,0.721,0.263,0.0,0.0872,-11.298,0.0569,153.894,4
"All I Ask of You (from ""The Phantom of the Opera"") [with Kelly Clarkson]",Stages,Josh Groban,2015-04-20,239453,12,0.912,0.223,0.268,0.0,0.108,-9.468,0.0304,90.971,4
My Friends - 2023 Broadway Cast Recording,My Friends (2023 Broadway Cast Recording),Josh Groban,2023-05-26,231682,52,0.875,0.26,0.201,0.0,0.152,-10.027,0.0337,85.686,4
River,Bridges (Deluxe),Josh Groban,2018-09-21,253466,42,0.332,0.4,0.55,0.0,0.0812,-5.224,0.047,147.968,4
Epiphany - 2023 Broadway Cast Recording,Epiphany (2023 Broadway Cast Recording),Josh Groban,2023-06-23,189212,51,0.86,0.424,0.519,0.000254,0.357,-8.264,0.129,83.546,5
Bridge Over Troubled Water - Live,Hit Man David Foster & Friends (Deluxe),Various Artists,2008-10-14,280773,27,0.277,0.405,0.378,5.94e-06,0.193,-8.933,0.0262,73.881,4
You Are Loved (Don't Give Up),Awake,Josh Groban,2006-10-31,288946,50,0.0284,0.481,0.712,0.205,0.108,-6.485,0.0314,103.993,4
Remember,Music From The Motion Picture Troy,Various Artists,2004-05-11,258760,44,0.323,0.36,0.132,1.77e-05,0.0809,-17.48,0.0348,107.843,4
We Will Meet Once Again (with Andrea Bocelli),Bridges (Deluxe),Josh Groban,2018-09-21,235226,57,0.844,0.249,0.422,9.16e-06,0.172,-7.937,0.0315,108.615,4
Broken Vow,Closer,Josh Groban,2003-11-11,273533,40,0.894,0.239,0.207,4.49e-05,0.0987,-12.229,0.0308,77.749,4
99 Years (with Jennifer Nettles),Bridges (Deluxe),Josh Groban,2018-09-21,242093,48,0.0757,0.509,0.575,1.4e-06,0.125,-5.299,0.0301,143.82,4
Both Sides Now (Duet with Sara Bareilles),Harmony,Josh Groban,2020-11-20,242346,52,0.819,0.335,0.333,0.0,0.112,-9.121,0.0283,102.956,4
When You Say You Love Me,Closer,Josh Groban,2003-11-11,272533,43,0.616,0.34,0.34,0.0,0.103,-10.162,0.0347,126.319,4
Remember When It Rained,Closer,Josh Groban,2003-11-11,280640,40,0.632,0.446,0.249,0.00324,0.122,-10.715,0.0278,106.028,4
The Prayer - LIVE Duet with Josh Groban,The Prayer (LIVE Duet with Josh Groban),Céline Dion,2008-02-12,278000,53,0.718,0.168,0.404,0.000286,0.976,-9.511,0.0396,79.912,5
You're Still You,Josh Groban,Josh Groban,2001-11-20,218480,50,0.637,0.249,0.385,0.000309,0.105,-7.974,0.0337,116.172,4
"Vincent (Starry, Starry Night)",Josh Groban,Josh Groban,2001-11-20,277000,46,0.868,0.255,0.254,0.000258,0.101,-11.902,0.0339,166.134,4
The Prayer (with Charlotte Church),Josh Groban,Josh Groban,2001-11-20,264600,48,0.91,0.21,0.351,0.00197,0.196,-8.279,0.033,82.423,3
Believe,The Polar Express (Original Motion Picture Soundtrack) [Special Edition],Various Artists,2004-11-02,258399,47,0.62,0.301,0.422,0.0,0.0666,-7.561,0.029,78.411,4
O Holy Night,Noël (Deluxe Edition),Josh Groban,2017-11-03,288680,36,0.834,0.194,0.343,0.000781,0.0934,-8.051,0.0307,87.919,4
"Bring Him Home (from ""Les Misérables"")",Stages (Deluxe),Josh Groban,2015-04-20,203853,47,0.972,0.186,0.208,2.25e-05,0.0956,-10.789,0.0356,180.301,4
February Song,Awake,Josh Groban,2006-10-31,312426,44,0.705,0.216,0.289,0.00606,0.115,-8.992,0.031,139.749,3
Awake,Awake,Josh Groban,2006-10-31,311706,43,0.682,0.404,0.372,0.00131,0.107,-8.376,0.0275,129.86,4
Run (with Sarah McLachlan),Bridges (Deluxe),Josh Groban,2018-09-21,287880,48,0.275,0.439,0.54,6.06e-06,0.0939,-6.63,0.0266,81.003,4
Caruso,Closer,Josh Groban,2003-11-11,306360,29,0.787,0.242,0.319,0.000649,0.141,-9.324,0.0349,83.08,1
Epiphany - 2023 Broadway Cast Recording,Not While I'm Around (2023 Broadway Cast Recording),Josh Groban,2023-07-07,189212,32,0.86,0.424,0.519,0.000254,0.357,-8.264,0.129,83.546,5
Cinema Paradiso (Se),Josh Groban,Josh Groban,2001-11-20,205200,49,0.875,0.212,0.225,0.0208,0.111,-11.882,0.0384,69.261,3
Johanna (Act 2 Sequence) - 2023 Broadway Cast Recording,Not While I'm Around (2023 Broadway Cast Recording),Josh Groban,2023-07-07,321391,30,0.788,0.438,0.233,0.000256,0.191,-12.37,0.0394,160.974,4
Oceano,Closer,Josh Groban,2003-11-11,243066,35,0.662,0.378,0.404,0.000218,0.0862,-9.587,0.039,157.839,3
My Friends - 2023 Broadway Cast Recording,Not While I'm Around (2023 Broadway Cast Recording),Josh Groban,2023-07-07,231682,26,0.875,0.26,0.201,0.0,0.152,-10.027,0.0337,85.686,4
The Ballad of Sweeney Todd (Opening) [2023 Broadway Cast Recording],Not While I'm Around (2023 Broadway Cast Recording),Josh Groban,2023-07-07,178928,25,0.699,0.631,0.368,1.11e-06,0.149,-10.282,0.0612,120.48,4
It Came upon a Midnight Clear,Christmas in July Eat Drink & Be Merry,Various Artists,2023-07-07,253066,0,0.707,0.438,0.28,0.000524,0.115,-12.147,0.0317,119.887,4
Johanna (Act 2 Sequence) - 2023 Broadway Cast Recording,Johanna (Act 2 Sequence) [2023 Broadway Cast Recording],Josh Groban,2023-06-09,321391,42,0.788,0.438,0.233,0.000256,0.191,-12.37,0.0394,160.974,4
Somewhere (feat. Josh Groban),Partners,Barbra Streisand,2014-09-10,245320,38,0.935,0.242,0.263,0.0047,0.181,-11.182,0.0328,130.08,3
"You'll Never Walk Alone (from ""Carousel"")",Stages (Deluxe),Josh Groban,2015-04-20,268480,45,0.626,0.204,0.42,0.0135,0.182,-7.984,0.0304,101.881,4
All I Know Of Love (feat. Josh Groban),Duets,Barbra Streisand,2002-11-26,269306,44,0.794,0.459,0.459,0.0,0.0961,-7.886,0.0318,114.15,4
Symphony,Bridges (Deluxe),Josh Groban,2018-09-21,212546,35,0.428,0.513,0.555,4.71e-06,0.109,-6.525,0.0506,76.941,4
I Love Trash (feat. Josh Groban),The Not-Too-Late Show with Elmo: Songs,Sesame Street,2020-09-18,110348,37,0.794,0.678,0.377,0.0,0.112,-9.318,0.089,96.02,4
Broken Vow (feat. Josh Groban),Chris Botti In Boston,Chris Botti,2009-03-31,300386,26,0.907,0.233,0.248,0.0309,0.676,-10.999,0.0312,70.139,5
The Impossible Dream,The Impossible Dream,Josh Groban,2020-10-02,255200,41,0.875,0.329,0.319,0.000455,0.11,-6.86,0.0286,85.515,4
Mi Mancherai (Il Postino) (feat. Joshua Bell),Closer,Josh Groban,2003-11-11,363666,33,0.759,0.248,0.294,0.00248,0.0927,-11.289,0.0398,130.677,3
So She Dances,Awake,Josh Groban,2006-10-31,293973,40,0.736,0.29,0.26,3.01e-06,0.0942,-9.757,0.0297,75.879,4
